,time,ground_force1_pt1y,ground_force1_pt1x,ground_force2_pt1y,ground_force2_pt1x,ground_force1_pt2x,ground_force1_pt2y,ground_force1_pt2z,ground_force2_pt2x,ground_force2_pt2y,ground_force2_pt2z
55,0.055,0.340406,-1.099581,0.354034,-0.74448,36.68987406763593,3.2264081801168576,457.409693781847,-41.564552222091415,0.584295261180823,433.7540821481762
56,0.056,0.340522,-1.099543,0.354472,-0.745001,36.668620946842196,3.221495159944113,457.45698491056055,-41.55505679207374,0.6324033807043308,433.70770511771445
57,0.057,0.34098,-1.098208,0.353886,-0.745101,36.648715196133644,3.2168288811873524,457.5022002373467,-41.54474177305226,0.6795758030655032,433.6583561008324
58,0.058,0.341355,-1.09866,0.353963,-0.744943,36.627079419839085,3.211994684698323,457.5452951331712,-41.533770168791456,0.7274886193440864,433.60601782844464
59,0.059,0.341111,-1.098484,0.353901,-0.743851,36.60613517098199,3.206467309900435,457.5862256414574,-41.52146617291659,0.7753288388435716,433.550674667597
60,0.06,0.341464,-1.097342,0.353874,-0.74419,36.586226946288896,3.201473891963973,457.6249485025554,-41.51019516879359,0.8232593931352425,433.49231263868126
61,0.061,0.341368,-1.098276,0.354107,-0.745,36.56431918121371,3.1959799585037523,457.6614211778466,-41.498997729252814,0.8714941402036649,433.4309194309413
62,0.062,0.341473,-1.097136,0.353805,-0.745806,36.54456824498055,3.190647425794827,457.69560187348935,-41.48739961615624,0.9192268686949705,433.3664844162398
63,0.063,0.340845,-1.09798,0.354086,-0.746459,36.522922435648184,3.184554594502538,457.7274495638119,-41.47525277980776,0.9675643022689631,433.298998661053
64,0.064,0.341055,-1.097423,0.353866,-0.746485,36.50277297519947,3.1792851449237483,457.7569240143568,-41.46208435820678,1.0154111040557396,433.2284549366691
65,0.065,0.341202,-1.098141,0.353809,-0.74428,36.48145000465883,3.1739511317366063,457.7839858045835,-41.44629167614537,1.0634198812172115,433.1548477275625
66,0.066,0.341191,-1.097446,0.353637,-0.744443,36.46164757924128,3.1684709782566305,457.80859635023535,-41.432475244149316,1.1113011896135792,433.0781732379216
67,0.067,0.341201,-1.097331,0.354257,-0.746164,36.44137866353605,3.1630374701974078,457.8307179253758,-41.41982675726411,1.1599505385744675,432.9984293963066
68,0.068,0.341012,-1.097879,0.35308,-0.746072,36.420566126728254,3.157444748934711,457.8503136840996,-41.40497709368641,1.2067673957740528,432.91561585841896
69,0.069,0.340872,-1.097476,0.353483,-0.745795,36.40082973786184,3.15195530427343,457.86734768192383,-41.389556313242174,1.2551171922091242,432.8297340079615
70,0.07,0.341056,-1.09677,0.353923,-0.744305,36.381527161147226,3.1468589667172475,457.8817848968632,-41.37253865571234,1.3034453272786273,432.7407869555767
71,0.071,0.340757,-1.097699,0.353102,-0.746159,36.36072595131758,3.1413638992414805,457.8935912501931,-41.35848353900724,1.3504421739628207,432.6487795358473
72,0.072,0.34098,-1.099597,0.353579,-0.746222,36.3390975490373,3.136490588569898,457.902733626904,-41.3422585571905,1.3986550840997758,432.55371830234986
73,0.073,0.340957,-1.098219,0.352904,-0.744397,36.32089227636687,3.131486835956707,457.9091798958505,-41.323769478353405,1.4456223937565182,432.4556115207497
74,0.074,0.340929,-1.098307,0.353594,-0.744824,36.30137333228773,3.1266097474753383,457.9128989295968,-41.307159242340454,1.4938494286917245,432.3544691599332
75,0.075,0.341188,-1.097689,0.35297,-0.744413,36.28271778829071,3.1221677238162586,457.9138606239627,-41.289340958326704,1.5406455099064995,432.2503028811704
76,0.076,0.340815,-1.098506,0.353483,-0.745554,36.26278958403138,3.1172584495968128,457.9120359172708,-41.272707902247944,1.5884499592795112,432.14312602530646
77,0.077,0.341249,-1.097998,0.352886,-0.744733,36.24435352305578,3.113337882186954,457.90739680929886,-41.25374951408435,1.635004105282581,432.032953597983
78,0.078,0.340842,-1.098766,0.352849,-0.745152,36.22481326859949,3.108775240055681,457.8999163799391,-41.2356713949984,1.6819662887727103,431.919802252893
79,0.079,0.341218,-1.098726,0.353231,-0.745126,36.20625733946395,3.1052119906438764,457.88956880756655,-41.216792304327996,1.729183868856372,431.8036902730751
